question_uid,branch,subject,topic,qtype,difficulty,statement,option_A,option_B,option_C,option_D,correct_answer,explanation,tags,estimated_time,marks
b8796568-a3c2-4c29-b86a-83ab62388fa3,Data Science,Data Science Applications,Data Science Applications - Topic 1,SA,Expert,Explain the concept of trade-off in Data Science Applications - Topic 1.,,,,,,,,3,1
ea189237-cfcd-4752-8679-c91a0802edbc,Aerospace,Aerospace Fundamentals,Aerospace Fundamentals - Topic 2,TF,Hard,Aerospace Fundamentals - Topic 2 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
7fdb6ccf-6e91-4528-904a-c5b549b2765c,Chemical,Chemical Fundamentals,Chemical Fundamentals - Topic 2,CODE,Easy,Write a function to solve flood fill in Chemical Fundamentals - Topic 2.,,,,,,,,3,1
ec007987-2a91-47ce-974b-90adea630ac3,ECE,Signals,Signals - Topic 1,MCQ,Expert,"In Signals - Topic 1, what is the main purpose of stack?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
5085a9b1-2e6f-413e-af0b-04aa4c1af685,ECE,Signals,Signals - Topic 2,CODE,Expert,Write a function to solve reverse string in Signals - Topic 2.,,,,,,,,3,1
80f71d94-ef77-4c75-ade7-198ce198174c,Mechanical,Fluid Mechanics,Fluid Mechanics - Topic 2,SA,Medium,Explain the concept of trade-off in Fluid Mechanics - Topic 2.,,,,,,,,3,1
7c5426de-531f-4f14-9fc0-0c012979ec90,Civil,Civil Applications,Civil Applications - Topic 2,MCQ,Medium,"In Civil Applications - Topic 2, what is the main purpose of hash table?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
6c30282f-baef-4a31-b169-40e12371c6af,Data Science,Data Science Applications,Data Science Applications - Topic 1,NUM,Expert,"Given values a=40 and b=40 in Data Science Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
94e8b268-18d2-44fd-971f-6c6158368580,Automobile,Automobile Fundamentals,Automobile Fundamentals - Topic 2,MCQ,Easy,"In Automobile Fundamentals - Topic 2, what is the main purpose of tree?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
67bd5bcd-b3c6-4c38-b4e7-fc40862e45f6,Cyber Security,Cyber Security Fundamentals,Cyber Security Fundamentals - Topic 2,LA,Easy,Explain the concept of principle in Cyber Security Fundamentals - Topic 2.,,,,,,,,3,1
a36918f3-a721-4443-bd5e-8092c506357e,Automobile,Automobile Applications,Automobile Applications - Topic 1,SA,Expert,Explain the concept of trade-off in Automobile Applications - Topic 1.,,,,,,,,3,1
10441062-a174-4642-b77b-7a22e23a7f99,ISE,ISE Fundamentals,ISE Fundamentals - Topic 1,CODE,Medium,Write a function to solve binary search in ISE Fundamentals - Topic 1.,,,,,,,,3,1
d65612e1-e844-4a83-b61c-4273966f1664,Mechanical,Thermodynamics,Thermodynamics - Topic 2,CODE,Medium,Write a function to solve flood fill in Thermodynamics - Topic 2.,,,,,,,,3,1
dce30c71-4ccd-40c0-b56e-863d883d894d,Civil,Civil Applications,Civil Applications - Topic 1,MCQ,Expert,"In Civil Applications - Topic 1, what is the main purpose of stack?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
a4bfbb12-9678-45ec-ac0a-5071f940a189,Data Science,Data Science Fundamentals,Data Science Fundamentals - Topic 2,MCQ,Hard,"In Data Science Fundamentals - Topic 2, what is the main purpose of stack?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
958d3240-6814-4345-a36b-54da9f332212,EEE,EEE Fundamentals,EEE Fundamentals - Topic 1,LA,Hard,Explain the concept of principle in EEE Fundamentals - Topic 1.,,,,,,,,3,1
9a28b554-fa06-4852-86d9-228eecae6749,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 2,TF,Hard,Robotics Fundamentals - Topic 2 typically requires understanding of recursion.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
d0eb2987-292b-4fd3-8bae-546326ef0371,Environmental,Environmental Fundamentals,Environmental Fundamentals - Topic 2,NUM,Hard,"Given values a=16 and b=100 in Environmental Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
29f9e9d2-295d-4c0d-8c8f-befe85d6d65b,ISE,ISE Fundamentals,ISE Fundamentals - Topic 2,LA,Hard,Explain the concept of trade-off in ISE Fundamentals - Topic 2.,,,,,,,,3,1
8397c009-7380-4ad7-961b-a72dfae8da54,Chemical,Chemical Applications,Chemical Applications - Topic 1,LA,Expert,Explain the concept of trade-off in Chemical Applications - Topic 1.,,,,,,,,3,1
712760b9-c996-4314-aec4-9bf27c7ca440,ECE,Signals,Signals - Topic 2,TF,Expert,Signals - Topic 2 typically requires understanding of recursion.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
e0cdbb2a-ef4c-4291-86dc-69a5a06dddd9,CSE,Data Structures,Data Structures - Topic 1,NUM,Expert,"Given values a=45 and b=54 in Data Structures - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
79e82880-62bf-48b4-8e69-8595347068b7,ISE,ISE Fundamentals,ISE Fundamentals - Topic 2,NUM,Easy,"Given values a=28 and b=50 in ISE Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
0c950f54-8786-43bf-ab80-d27ea2f4f786,Automobile,Automobile Applications,Automobile Applications - Topic 2,SA,Hard,Explain the concept of trade-off in Automobile Applications - Topic 2.,,,,,,,,3,1
4712a6d8-e1a6-4928-8426-ca87420d2c34,Environmental,Environmental Fundamentals,Environmental Fundamentals - Topic 2,NUM,Hard,"Given values a=7 and b=22 in Environmental Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
94965479-8c0a-4ddc-be66-6d33c67ade6f,Chemical,Chemical Applications,Chemical Applications - Topic 2,TF,Hard,Chemical Applications - Topic 2 typically requires understanding of recursion.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
7bd72894-7637-42fe-bb3d-cb06296e3a8b,ECE,Communication Systems,Communication Systems - Topic 1,MCQ,Hard,"In Communication Systems - Topic 1, what is the main purpose of graph?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
bbe3e80d-27c0-4e03-be43-d647653072f5,Environmental,Environmental Fundamentals,Environmental Fundamentals - Topic 1,LA,Easy,Explain the concept of trade-off in Environmental Fundamentals - Topic 1.,,,,,,,,3,1
0236dafa-a5ef-4e51-88ac-368cbef561c2,Mechatronics,Mechatronics Fundamentals,Mechatronics Fundamentals - Topic 1,SA,Medium,Explain the concept of trade-off in Mechatronics Fundamentals - Topic 1.,,,,,,,,3,1
f415f047-1430-4f22-ba92-228a6285d774,EEE,EEE Fundamentals,EEE Fundamentals - Topic 2,TF,Easy,EEE Fundamentals - Topic 2 typically requires understanding of encryption.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
7fddfa4a-3ef6-4a96-9a50-15f2bab5b826,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 1,TF,Hard,Robotics Fundamentals - Topic 1 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
c6f6a867-fbeb-44a0-b5fc-69abb4c8ddae,CSE,Operating Systems,Operating Systems - Topic 2,NUM,Hard,"Given values a=31 and b=58 in Operating Systems - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
164c9cee-6e23-4746-bd72-df547136147c,Civil,Civil Applications,Civil Applications - Topic 2,LA,Medium,Explain the concept of principle in Civil Applications - Topic 2.,,,,,,,,3,1
2ea00343-a3b0-49ad-ab43-3749016d0bc9,CSE,Algorithms,Algorithms - Topic 2,LA,Easy,Explain the concept of trade-off in Algorithms - Topic 2.,,,,,,,,3,1
a9468db3-0044-4622-9414-dfe03ab40045,Robotics,Robotics Applications,Robotics Applications - Topic 1,TF,Expert,Robotics Applications - Topic 1 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
c0b2fde8-7fe2-48e8-96ea-0e854dc11ca1,Mechatronics,Mechatronics Applications,Mechatronics Applications - Topic 1,SA,Medium,Explain the concept of trade-off in Mechatronics Applications - Topic 1.,,,,,,,,3,1
9dc5c5d9-fb4f-412d-9e1c-2ba9d8338cee,Automobile,Automobile Applications,Automobile Applications - Topic 1,TF,Medium,Automobile Applications - Topic 1 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
9ebed0bb-8251-4300-aac6-f813c2d0da4f,EEE,EEE Applications,EEE Applications - Topic 2,CODE,Hard,Write a function to solve reverse string in EEE Applications - Topic 2.,,,,,,,,3,1
954911b1-5377-4d18-b9a8-69dcd68e2308,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 2,TF,Hard,Robotics Fundamentals - Topic 2 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
7b762a37-515d-4814-8efa-d56c7ca991cf,Automobile,Automobile Applications,Automobile Applications - Topic 1,NUM,Hard,"Given values a=51 and b=17 in Automobile Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
6a67e31b-3330-43dc-b9eb-fb0b9ebcaea3,ECE,Communication Systems,Communication Systems - Topic 2,LA,Hard,Explain the concept of trade-off in Communication Systems - Topic 2.,,,,,,,,3,1
43d116a7-d0a5-47a4-9bca-f3d0a91db780,Industrial,Industrial Applications,Industrial Applications - Topic 2,MCQ,Medium,"In Industrial Applications - Topic 2, what is the main purpose of stack?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
6dee5f56-59d2-4583-bc37-44e8239bd56c,Industrial,Industrial Applications,Industrial Applications - Topic 1,NUM,Expert,"Given values a=96 and b=58 in Industrial Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
0814e6ca-5536-4264-9dc7-2cee2f6c91f2,Biotechnology,Biotechnology Applications,Biotechnology Applications - Topic 2,SA,Expert,Explain the concept of principle in Biotechnology Applications - Topic 2.,,,,,,,,3,1
d4e10139-b919-4414-86eb-f64d1791fbd2,Biotechnology,Biotechnology Fundamentals,Biotechnology Fundamentals - Topic 1,CODE,Hard,Write a function to solve binary search in Biotechnology Fundamentals - Topic 1.,,,,,,,,3,1
ca3609d7-8ab8-41d1-acf5-7b2de4195a4f,Environmental,Environmental Fundamentals,Environmental Fundamentals - Topic 2,TF,Medium,Environmental Fundamentals - Topic 2 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
0fb1e73d-20d4-410e-adac-e1f79b54afd9,CSE,Data Structures,Data Structures - Topic 1,TF,Expert,Data Structures - Topic 1 typically requires understanding of encryption.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
a80dd5b3-942b-4a35-a454-6e77911b6877,Industrial,Industrial Fundamentals,Industrial Fundamentals - Topic 2,SA,Easy,Explain the concept of trade-off in Industrial Fundamentals - Topic 2.,,,,,,,,3,1
d0a9a1fe-82f0-49ba-82a5-69ffdc6871ed,Data Science,Data Science Fundamentals,Data Science Fundamentals - Topic 2,MCQ,Hard,"In Data Science Fundamentals - Topic 2, what is the main purpose of queue?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
6b4dfe62-7b74-49d9-9a23-2f41fec3c35b,Biotechnology,Biotechnology Fundamentals,Biotechnology Fundamentals - Topic 2,MCQ,Easy,"In Biotechnology Fundamentals - Topic 2, what is the main purpose of tree?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
9c962ecf-7ec0-40d3-907f-8c3cd35a20eb,AIML,AIML Fundamentals,AIML Fundamentals - Topic 1,TF,Medium,AIML Fundamentals - Topic 1 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
